Primary_Key,Year,Store_Number,count,Shortage_Percent,Sales,Shortage
137,2020,Store_2549,1,0.005368882,32210111.27,172932.28
138,2021,Store_2549,1,0.007528414,47249835.9,355716.33
139,2022,Store_2549,1,0.01125145,61129050.99,687790.46
140,2023,Store_2549,1,0,0,0
141,2018,Store_3790,1,0.021609773,46121193.23,996668.51
142,2019,Store_3790,1,0.018225219,49813980.74,907870.71
143,2021,Store_3790,1,0.012675192,120406550.8,1526176.16
144,2022,Store_3790,1,0.028123733,68962816.93,1939491.87
145,2023,Store_3790,1,0,0,0
146,2018,Store_9895,1,0.01131808,34835134.34,394266.84
147,2019,Store_9895,1,0.012784808,20269896.9,259146.74
148,2020,Store_9895,1,0.011919358,48738942.96,580936.92
149,2021,Store_9895,1,0.012722963,44615637.35,567643.09
150,2022,Store_9895,1,0.021850108,34875757.32,762039.08
151,2023,Store_9895,1,0,0,0
152,2018,Store_7204,1,0.022838361,24282273.55,554567.33
153,2019,Store_7204,1,0.02182338,25440435.81,555196.3
154,2020,Store_7204,1,0.024380585,42741499.05,1042062.76
155,2021,Store_7204,1,0.026655809,33939256.05,904678.31
156,2022,Store_7204,1,0.039972809,26379767.14,1054473.4
157,2023,Store_7204,1,0.085241,34230814.3,2917858.64
158,2018,Store_5643,1,0.012338857,45646838.13,563229.83
159,2019,Store_5643,1,0.015333929,52908028.33,811287.97
160,2021,Store_5643,1,0.015054819,105446434,1587476.95
161,2022,Store_5643,1,0.022026308,53125163.91,1170151.22
162,2023,Store_5643,1,0,0,0
163,2018,Store_7660,1,0.006923715,54001905.97,373893.79
164,2019,Store_7660,1,0.013165782,57676064.14,759350.46
165,2020,Store_7660,1,0.011219463,85286046.4,956863.6
166,2021,Store_7660,1,0.013406413,67819583.93,909217.36
167,2022,Store_7660,1,0.019861132,58135790.45,1154642.59
168,2023,Store_7660,1,0,0,0
169,2018,Store_5178,1,0.009575871,29951171.81,286808.56
170,2019,Store_5178,1,0.015253839,34751670.27,530096.38
171,2021,Store_5178,1,0.011780946,56772650.45,668835.55
172,2022,Store_5178,1,0.010354147,58574696.13,606490.99
173,2023,Store_5178,1,0,0,0
174,2018,Store_6351,1,0.016894474,19756187.96,333770.4
175,2019,Store_6351,1,0.016411616,19541987.86,320715.6
176,2021,Store_6351,1,0.009163356,53161630.61,487138.97
177,2022,Store_6351,1,0.008163335,27681519.1,225973.5
178,2023,Store_6351,1,0.017163,24775669.66,425233.55
179,2018,Store_4298,1,0.011461613,38021033.6,435782.38
180,2019,Store_4298,1,0.012903478,32845486.3,423821.01
181,2021,Store_4298,1,0.015735279,82980633.56,1305723.42
182,2022,Store_4298,1,0.012891846,55013955.04,709231.41
183,2023,Store_4298,1,0,0,0
184,2018,Store_8102,1,0.013598673,22743252.91,309278.07
185,2019,Store_8102,1,0.008092483,22660168.54,183377.04
186,2020,Store_8102,1,0.004619073,25006956.8,115508.97
187,2021,Store_8102,1,0.008786628,52214847.3,458792.45
188,2022,Store_8102,1,0.013937778,27246677.31,379758.13
189,2023,Store_8102,1,0,0,0
190,2018,Store_3087,1,0.018742205,21948166.75,411357.03
191,2019,Store_3087,1,0.0217964,23516450.27,512573.96
192,2021,Store_3087,1,0.024500572,45300912.17,1109898.25
193,2022,Store_3087,1,0.04799426,31079912.98,1491657.43
194,2023,Store_3087,1,0,0,0
195,2018,Store_9261,1,0.011839966,55368641.76,655562.84
196,2019,Store_9261,1,0.012675988,56579367.41,717199.36
197,2020,Store_9261,1,0.012288681,60569042.76,744313.65
198,2021,Store_9261,1,0.013103208,62128302.56,814080.05
199,2022,Store_9261,1,0.018371039,72537001.06,1332580.05
200,2023,Store_9261,1,0.021132,30142797.74,636984.43
201,2018,Store_8251,1,0.018566966,25293787.55,469628.9
202,2019,Store_8251,1,0.018027722,28304515.14,510265.92
203,2020,Store_8251,1,0.019287218,29646133.74,571791.45
204,2021,Store_8251,1,0.027773544,42781908.76,1188205.23
205,2022,Store_8251,1,0.032000409,30231741.11,967428.07
206,2023,Store_8251,1,0,0,0
207,2018,Store_1429,1,0.013532543,34514767.75,467072.58
208,2019,Store_1429,1,0.008893695,36238738.45,322296.28
209,2020,Store_1429,1,0.010337956,47431214.98,490341.8
210,2021,Store_1429,1,0.012349989,41815122.81,516416.32
211,2022,Store_1429,1,0.014491485,56142886.55,813593.8
212,2023,Store_1429,1,0.025068,55561748.54,1392843.49
213,2018,Store_4213,1,0.01241081,23210944.39,288066.61
214,2019,Store_4213,1,0.009754253,18272544.4,178235.02
215,2021,Store_4213,1,0.008148811,54342054.21,442823.12
216,2022,Store_4213,1,0.013024624,35583371,463460.02
217,2023,Store_4213,1,0.023605,38981936.85,920158.67
218,2018,Store_3754,1,0.012359507,27672385.48,342017.05
219,2019,Store_3754,1,0.011053957,30049980.94,332171.21
220,2021,Store_3754,1,0.011249942,69404667.35,780798.51
221,2022,Store_3754,1,0.01631453,54541914.53,889825.72
222,2023,Store_3754,1,0,0,0
223,2018,Store_6667,1,0.025355171,27477000.58,696684.05
224,2019,Store_6667,1,0.025767363,26734547.05,688878.78
225,2020,Store_6667,1,0.019857993,48707265.42,967228.52
226,2021,Store_6667,1,0.021150805,36014307.36,761731.58
227,2022,Store_6667,1,0.02139356,22140724.35,473668.92
228,2023,Store_6667,1,0.026713,38788106.39,1036143.27
229,2018,Store_6564,1,0.019675668,21907178.84,431038.38
230,2019,Store_6564,1,0.011874559,24564919.16,291697.58
231,2021,Store_6564,1,0.010672255,37104331.99,395986.91
232,2022,Store_6564,1,0.011009365,33133790.78,364781.99
233,2023,Store_6564,1,0.00667,30078649.31,200634.48
234,2018,Store_3822,1,0.017426361,11250792.29,196060.37
235,2019,Store_3822,1,0.021067018,26070192.15,549221.21
236,2021,Store_3822,1,0.009476632,32516885.34,308150.57
237,2022,Store_3822,1,0.009700464,29643375.71,287554.51
238,2023,Store_3822,1,0.015251,22516234.07,343399.32
239,2018,Store_2387,1,0.020131199,21089962,424566.22
240,2019,Store_2387,1,0.016219419,22993668.27,372943.93
241,2021,Store_2387,1,0.019796437,44675881.26,884423.29
242,2022,Store_2387,1,0.025499822,30055783.3,766417.11
243,2023,Store_2387,1,0.02487,34969007.39,869678.1
244,2018,Store_1545,1,0.018985262,50644733.52,961503.55
245,2019,Store_1545,1,0.017904545,39080249.78,699714.11
246,2021,Store_1545,1,0.018926438,71539808.19,1353993.71
247,2022,Store_1545,1,0.014159318,74715502.19,1057920.53
248,2023,Store_1545,1,0,0,0
249,2018,Store_6853,1,0.014118156,20921426.55,295371.97
250,2019,Store_6853,1,0.009849387,23492728.81,231388.97
251,2021,Store_6853,1,0.015501772,48732783.74,755444.51
252,2022,Store_6853,1,0.021323316,32429322.24,691500.68
253,2023,Store_6853,1,0.023347,24081938.64,562229.38
254,2018,Store_1018,1,0.014697349,24036392.48,353271.25
255,2019,Store_1018,1,0.009455181,18534100.29,175243.27
256,2018,Store_2983,1,0.022594302,41998928.19,948936.45
257,2019,Store_2983,1,0.031741411,42969721.23,1363919.59
258,2020,Store_2983,1,0.029582232,42286179.73,1250919.58
259,2021,Store_2983,1,0.027649384,71799013.39,1985198.48
260,2022,Store_2983,1,0.043927646,57981926.24,2547009.55
261,2023,Store_2983,1,0,0,0
262,2018,Store_2341,1,0.035034861,72020660.06,2523233.83
263,2019,Store_2341,1,0.032485451,63495838.87,2062690.95
264,2021,Store_2341,1,0.027704651,125706629.5,3482658.3
265,2022,Store_2341,1,0.032888032,95523696.75,3141586.36
266,2023,Store_2341,1,0.050677,90139392.8,4567951.1
267,2018,Store_4304,1,0.050219041,27023077.79,1357073.06
268,2019,Store_4304,1,0.050603567,38252639.82,1935720.02
269,2021,Store_4304,1,0.052124668,87185032.93,4544490.86
270,2022,Store_4304,1,0.063806812,81907000.04,5226224.53
271,2023,Store_4304,1,0,0,0
