"scalar","mapId","level","mode","layoutRole","observedXpPerMinute","projectedXpPerMinute","beforeXpPerMinute","projectedChangeVersusBeforePercent","observedChangeVersusBeforePercent","ordinaryMedianXpPerMinute","ordinaryMedianDeviationPercent","deepPremiumPercent","targetViolationPoints","xpWithinTarget","observedKillsPerMinute","beforeKillsPerMinute"
"0.9","cinderHollow","28","beastArcher","trainingField","13161.2","11845.08","7965.467","48.705","65.228","11845.08","0","","0","true","35.933","22.4"
"0.9","cinderHollow","28","party","trainingField","13329.067","11996.16","9791.067","22.521","36.135","11996.16","0","","0","true","36.333","27.6"
"0.9","banditRidgeCamp","28","fighter","deepField","13520.667","13520.667","13086.467","3.318","3.318","10948.68","23.491","23.491","3.491","false","39.533","38.333"
"0.9","banditRidgeCamp","28","mage","deepField","14496.267","14496.267","15708.333","-7.716","-7.716","13358.58","8.517","8.517","1.483","false","42.4","45.8"
"0.9","banditRidgeCamp","28","archer","deepField","11558.067","11558.067","9242","25.06","25.06","12979.38","-10.951","-10.951","20.951","false","34","26.867"
"0.9","banditRidgeCamp","28","guardian","deepField","12532.933","12532.933","12122.067","3.389","3.389","11178.72","12.114","12.114","0","true","36.533","35.4"
"0.9","banditRidgeCamp","28","berserker","deepField","12437.733","12437.733","12802.067","-2.846","-2.846","11106.18","11.989","11.989","0","true","36.4","37.4"
"0.9","banditRidgeCamp","28","duelist","deepField","12869.2","12869.2","12241.6","5.127","5.127","11519.94","11.712","11.712","0","true","37.6","36"
"0.9","banditRidgeCamp","28","fireMage","deepField","14655.067","14655.067","14555.333","0.685","0.685","12133.92","20.778","20.778","0.778","false","42.933","42.467"
"0.9","banditRidgeCamp","28","runeMage","deepField","13573.733","13573.733","13399.467","1.301","1.301","12084.36","12.325","12.325","0","true","39.733","39.2"
"0.9","banditRidgeCamp","28","stormMage","deepField","13129.4","13129.4","13674.6","-3.987","-3.987","11715.12","12.072","12.072","0","true","38.533","40.133"
"0.9","banditRidgeCamp","28","sniper","deepField","7714.333","7714.333","6922.6","11.437","11.437","10462.56","-26.267","-26.267","36.267","false","22.6","20.4"
"0.9","banditRidgeCamp","28","trapper","deepField","11730.6","11730.6","11690.533","0.343","0.343","11313.36","3.688","3.688","6.312","false","34.533","34.2"
"0.9","banditRidgeCamp","28","beastArcher","deepField","8256.267","8256.267","8683.4","-4.919","-4.919","11845.08","-30.298","-30.298","40.298","false","24.2","25.467"
"0.9","banditRidgeCamp","28","party","deepField","15065.867","15065.867","15311.933","-1.607","-1.607","11996.16","25.589","25.589","5.589","false","44.067","44.667"
"0.9","orebackQuarry","28","fighter","deepField","13322.867","13322.867","11834.267","12.579","12.579","10948.68","21.685","21.685","1.685","false","30.6","28.133"
"0.9","orebackQuarry","28","mage","deepField","12782.2","12782.2","11667.867","9.55","9.55","13358.58","-4.315","-4.315","14.315","false","29.533","27.6"
"0.9","orebackQuarry","28","archer","deepField","14282.733","14282.733","12528.8","13.999","13.999","12979.38","10.042","10.042","0","true","32.933","29.2"
"0.9","orebackQuarry","28","guardian","deepField","11381.533","11381.533","10682.2","6.547","6.547","11178.72","1.814","1.814","8.186","false","26.733","25"
"0.9","orebackQuarry","28","berserker","deepField","12708.867","12708.867","11179.133","13.684","13.684","11106.18","14.431","14.431","0","true","29.267","25.933"
"0.9","orebackQuarry","28","duelist","deepField","12029.2","12029.2","10451.533","15.095","15.095","11519.94","4.421","4.421","5.579","false","27.733","24.733"
"0.9","orebackQuarry","28","fireMage","deepField","11855.6","11855.6","10816.333","9.608","9.608","12133.92","-2.294","-2.294","12.294","false","27.333","25.6"
"0.9","orebackQuarry","28","runeMage","deepField","13173.933","13173.933","11730.467","12.305","12.305","12084.36","9.016","9.016","0.984","false","30.4","27.667"
